mode,n,procs,time_s
serial,103,1,0.000007
serial,1003,1,0.000007
serial,10003,1,0.000009
serial,100003,1,0.000037
serial,1000003,1,0.000034
serial,10000003,1,0.000085
serial,100000003,1,0.000267
serial,1000000003,1,0.000868
serial,10000000003,1,0.003904
serial,100000000003,1,0.012162
serial,1000000000003,1,0.036419
serial,10000000000003,1,0.114553
serial,100000000000003,1,0.371462
serial,1000000000000003,1,1.180549
serial,10000000000000003,1,3.696493
mpi,103,1,0.000646
mpi,103,2,0.000022
mpi,103,4,0.000041
mpi,103,8,0.000069
mpi,1003,1,0.000019
mpi,1003,2,0.000020
mpi,1003,4,0.000031
mpi,1003,8,0.000069
mpi,10003,1,0.000021
mpi,10003,2,0.000026
mpi,10003,4,0.000026
mpi,10003,8,0.000112
mpi,100003,1,0.000030
mpi,100003,2,0.000024
mpi,100003,4,0.000026
mpi,100003,8,0.000127
mpi,1000003,1,0.000042
mpi,1000003,2,0.000035
mpi,1000003,4,0.000031
mpi,1000003,8,0.000087
mpi,10000003,1,0.000096
mpi,10000003,2,0.000064
mpi,10000003,4,0.000048
mpi,10000003,8,0.000108
mpi,100000003,1,0.000371
mpi,100000003,2,0.000149
mpi,100000003,4,0.000094
mpi,100000003,8,0.000203
mpi,1000000003,1,0.000739
mpi,1000000003,2,0.000395
mpi,1000000003,4,0.000228
mpi,1000000003,8,0.000989
mpi,10000000003,1,0.003282
mpi,10000000003,2,0.001692
mpi,10000000003,4,0.000918
mpi,10000000003,8,0.001045
mpi,100000000003,1,0.010820
mpi,100000000003,2,0.005894
mpi,100000000003,4,0.002863
mpi,100000000003,8,0.002907
mpi,1000000000003,1,0.038496
mpi,1000000000003,2,0.022329
mpi,1000000000003,4,0.009528
mpi,1000000000003,8,0.008762
mpi,10000000000003,1,0.113564
mpi,10000000000003,2,0.068643
mpi,10000000000003,4,0.035604
mpi,10000000000003,8,0.027353
mpi,100000000000003,1,0.378639
mpi,100000000000003,2,0.194089
mpi,100000000000003,4,0.112918
mpi,100000000000003,8,0.078267
mpi,1000000000000003,1,1.209613
mpi,1000000000000003,2,0.625532
mpi,1000000000000003,4,0.370060
mpi,1000000000000003,8,0.249950
mpi,10000000000000003,1,3.847742
mpi,10000000000000003,2,2.006267
mpi,10000000000000003,4,1.180441
mpi,10000000000000003,8,0.797360
