mode,n,procs,time_s,mem_max_mb,mem_avg_mb
serial,103,1,0.000007,10.120000,
serial,1003,1,0.000052,10.250000,
serial,10003,1,0.000008,10.250000,
serial,100003,1,0.000012,10.250000,
serial,1000003,1,0.000032,10.250000,
serial,10000003,1,0.000087,10.250000,
serial,100000003,1,0.000254,10.250000,
serial,1000000003,1,0.000866,10.380000,
serial,10000000003,1,0.003687,10.380000,
serial,100000000003,1,0.011671,10.380000,
serial,1000000000003,1,0.035975,10.380000,
serial,10000000000003,1,0.115604,10.380000,
serial,100000000000003,1,0.382923,10.380000,
serial,1000000000000003,1,1.086716,10.380000,
serial,10000000000000003,1,3.403426,10.380000,
mpi,103,1,0.000042,24.930000,24.930000
mpi,103,2,0.000027,25.360000,25.270000
mpi,103,4,0.000075,25.030000,24.770000
mpi,103,8,0.000190,25.250000,24.950000
mpi,1003,1,0.000024,24.900000,24.900000
mpi,1003,2,0.000026,25.340000,25.240000
mpi,1003,4,0.000072,25.180000,24.950000
mpi,1003,8,0.000106,25.170000,24.980000
mpi,10003,1,0.000024,25.020000,25.020000
mpi,10003,2,0.000028,25.210000,25.130000
mpi,10003,4,0.000056,25.210000,25.020000
mpi,10003,8,0.000076,25.160000,24.890000
mpi,100003,1,0.000028,24.780000,24.780000
mpi,100003,2,0.000033,25.290000,25.180000
mpi,100003,4,0.000081,25.060000,24.810000
mpi,100003,8,0.000168,25.280000,24.970000
mpi,1000003,1,0.000050,24.880000,24.880000
mpi,1000003,2,0.000043,25.300000,25.290000
mpi,1000003,4,0.000071,25.030000,24.950000
mpi,1000003,8,0.000112,25.180000,24.910000
mpi,10000003,1,0.000099,25.000000,25.000000
mpi,10000003,2,0.000081,25.140000,25.120000
mpi,10000003,4,0.000180,25.280000,25.070000
mpi,10000003,8,0.000122,25.220000,24.870000
mpi,100000003,1,0.000256,24.830000,24.830000
mpi,100000003,2,0.000156,25.070000,24.920000
mpi,100000003,4,0.000134,24.930000,24.820000
mpi,100000003,8,0.000197,25.280000,24.920000
mpi,1000000003,1,0.000718,24.860000,24.860000
mpi,1000000003,2,0.000665,25.290000,25.170000
mpi,1000000003,4,0.000238,24.910000,24.840000
mpi,1000000003,8,0.000276,25.280000,24.960000
mpi,10000000003,1,0.003246,24.880000,24.880000
mpi,10000000003,2,0.001772,25.360000,25.290000
mpi,10000000003,4,0.001013,25.030000,24.930000
mpi,10000000003,8,0.001106,25.060000,24.900000
mpi,100000000003,1,0.010747,24.960000,24.960000
mpi,100000000003,2,0.005495,25.360000,25.350000
mpi,100000000003,4,0.004213,25.030000,24.950000
mpi,100000000003,8,0.002943,25.230000,25.030000
mpi,1000000000003,1,0.039006,24.910000,24.910000
mpi,1000000000003,2,0.018562,25.340000,25.340000
mpi,1000000000003,4,0.009596,25.340000,24.960000
mpi,1000000000003,8,0.007731,25.090000,24.940000
mpi,10000000000003,1,0.118024,24.890000,24.890000
mpi,10000000000003,2,0.062897,25.590000,25.410000
mpi,10000000000003,4,0.043378,25.150000,25.100000
mpi,10000000000003,8,0.024813,25.070000,24.920000
mpi,100000000000003,1,0.362055,25.020000,25.020000
mpi,100000000000003,2,0.186419,25.530000,25.470000
mpi,100000000000003,4,0.114294,25.160000,24.890000
mpi,100000000000003,8,0.072859,25.280000,25.030000
mpi,1000000000000003,1,1.129762,25.090000,25.090000
mpi,1000000000000003,2,0.605362,25.320000,25.300000
mpi,1000000000000003,4,0.319537,25.230000,25.070000
mpi,1000000000000003,8,0.224603,25.350000,25.010000
mpi,10000000000000003,1,3.660509,25.040000,25.040000
mpi,10000000000000003,2,1.923140,25.210000,25.140000
mpi,10000000000000003,4,1.046402,25.200000,24.960000
mpi,10000000000000003,8,0.731225,25.180000,25.040000
